type,code,content,hsn_code_4_digit,chapter_no,sch,gst_rate
hsn,8463.00.00,"Other machine-tools for working metal, or cermets, without removing material",Othe,84,IV,18%
hsn,8463.100.00,"Draw-benches for bars, tubes, profiles, wire or the like",Draw,84,IV,18%
hsn,8463.20.00,Thread rolling machines,Thre,84,IV,18%
hsn,8463.30.00,Machines for working wire,Mach,84,IV,18%
hsn,8463.90.00,"Other machine-tools for working metal, without removing materials",Othe,84,IV,18%
hsn,8463.90.100,Reverting machines (excluding protable hand operated machine),Reve,84,IV,18%
hsn,8463.90.20,Strip profiling,Stri,84,IV,18%
hsn,8463.90.30,Seaming machine (for eg. For cans),Seam,84,IV,18%
hsn,8464.00.00,"Machine-tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass",Mach,84,IV,18%
hsn,8464.100.00,Sawing machines for working mineral materials,Sawi,84,IV,18%
hsn,8464.100.100,Granite cutting machines or equipments,Gran,84,IV,18%
hsn,8464.20.00,Grinding or polishing machines for working mineral materials,Grin,84,IV,18%
hsn,8464.90.00,Machine-tools for working mineral materials or for cold working glass,Mach,84,IV,18%
hsn,8465.00.00,"Machine tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood  cork, bone, hard rubber, hard plastics or similar hard materials",Mach,84,IV,18%
hsn,8465.100.00,"Machines which can carry out different types, for working hard material",Mach,84,IV,18%
hsn,8465.91.00,"Sawing machines for working wood, cork, bone or similar hard materials",Sawi,84,IV,18%
hsn,8465.92.00,"Planing, milling or moulding (by cutting) machines",Plan,84,IV,18%
hsn,8465.93.00,"Grinding, sanding or polishing machines for working hard materials",Grin,84,IV,18%
hsn,8465.94.00,Bending or assembling machines for working hard materials,Bend,84,IV,18%
hsn,8465.95.00,Drilling or mortising machines for working hard materials,Dril,84,IV,18%
hsn,8465.96.00,"Splitting, slicing or paring machines",Spli,84,IV,18%
hsn,8465.99.00,"Other machine-tools for working wood, cork or similar hard materials",Othe,84,IV,18%
